token,count
泰国,6614
毛衣,6596
奇葩,6590
凶,6575
形象,6566
王,6564
折腾,6563
空间,6562
请客,6556
旧,6551
岁月,6546
大师,6541
姐妹,6534
眼皮,6532
情侣,6531
能够,6527
真相,6524
架,6517
复杂,6516
争取,6509
宝,6509
烦恼,6508
治,6508
剩下,6504
吵架,6484
嘿,6483
方面,6482
机票,6477
标准,6468
播,6468
多多,6465
轻,6463
齐,6461
打包,6460
哼哼,6444
绿色,6442
君,6441
过程,6440
爷爷,6439
改天,6422
馋,6421
全世界,6414
玩玩,6409
元旦,6409
食,6408
说实话,6407
稍微,6403
请假,6397
经典,6389
办公室,6384
下巴,6380
干什么,6378
浪漫,6372
坏人,6371
称,6370
脑,6370
的话,6354
咋样,6351
公主,6343
大姐,6342
呜呜,6339
过敏,6337
温度,6330
不再,6327
团,6327
走走,6325
赶快,6322
时代,6319
月饼,6315
蓝色,6315
缘,6315
戒,6313
般,6311
分开,6309
且,6308
无所谓,6305
袜子,6303
负,6302
软,6301
还行,6300
篇,6292
显得,6289
付出,6282
听听,6279
澡,6272
狂,6271
是否,6268
痘痘,6268
无敌,6266
醒来,6265
看着,6247
在意,6246
牵,6240
粥,6233
经过,6228
透,6225
啃,6214
师兄,6202
夹,6194
之类,6193
对面,6193
系列,6192
教育,6184
异地,6175
碰,6170
再也,6169
归,6165
眼里,6163
底,6161
星星,6154
安静,6147
偏,6146
麻麻,6142
报名,6141
魅力,6128
纯,6127
气死,6103
意见,6093
灯,6093
党,6079
初,6059
组,6059
勾,6056
诱惑,6046
凉快,6045
肿,6045
更加,6042
加入,6040
周一,6039
荣耀,6032
不准,6029
言,6025
微笑,6021
骗人,6010
女友,6007
三十,6005
闻,6004
前任,6003
左,6002
家长,6001
变化,5998
美美,5997
扫,5988
礼拜,5982
好意思,5981
妆,5970
进步,5968
摄影师,5955
批,5955
昂,5952
约会,5944
大大,5941
冒,5941
背景,5939
酸奶,5936
举,5936
危险,5934
先生,5925
男票,5922
从小,5921
那儿,5919
用心,5917
夸张,5916
金,5916
霸气,5914
介意,5912
满意,5912
似,5908
包包,5906
兴奋,5906
甩,5905
追求,5903
青年,5899
涨,5896
婚礼,5884
恢复,5881
丝,5881
表演,5880
放松,5879
秋天,5879
大连,5873
楼下,5868
藏,5867
丰富,5865
这部,5863
假装,5862
整天,5862
发烧,5861
记录,5859
陪伴,5853
同时,5851
秘密,5851
公交,5848
角色,5840
蹲,5838
悲伤,5835
您好,5832
芒果,5832
思想,5830
马,5821
欢乐,5814
主人,5813
一万,5807
郑州,5806
即使,5803
动力,5803
人类,5793
高铁,5791
同一,5789
盘,5788
沈阳,5786
玩耍,5785
鄙视,5784
明,5783
暴露,5782
抓紧,5778
它们,5776
