token,count
干部,5559
照顾,5558
角落,5557
移,5554
脚下,5553
反应,5550
哪怕,5549
嘴巴,5547
前进,5545
单,5542
骗,5541
语,5540
十二,5536
美好,5525
折磨,5519
随时,5516
心理,5514
多久,5513
好看,5510
平常,5510
不论,5508
检查,5504
红色,5500
功夫,5495
事儿,5492
不许,5481
夺,5481
拼命,5479
冷笑,5476
平时,5474
笑声,5474
仍旧,5470
村,5469
举行,5467
军官,5464
仰,5459
砸,5458
快活,5455
温暖,5455
使得,5449
对待,5447
递给,5444
逐渐,5440
欢乐,5438
轻松,5437
理想,5435
醒来,5434
打断,5431
今年,5430
总算,5429
合适,5423
滑,5421
恐怖,5419
到来,5419
只怕,5414
物,5414
话题,5410
一个个,5394
亲爱,5391
印,5390
举起,5387
智慧,5387
扭,5385
形成,5376
轮,5376
今晚,5370
味,5365
身材,5364
十几,5361
支持,5358
页,5358
尽量,5355
披,5348
写信,5341
喜,5339
希腊,5336
期间,5329
大事,5325
校长,5323
渴望,5320
鼓,5320
地板,5318
飘,5317
匆匆,5316
当真,5316
不能不,5316
打量,5315
工夫,5313
科学,5309
咋,5304
力,5304
家霆,5303
气氛,5302
睡着,5299
造,5298
关上,5296
亲切,5294
缩,5293
女士,5292
喊道,5292
部队,5288
汗,5281
论,5281
建筑,5278
燕西,5278
连忙,5274
收到,5272
随即,5271
乘,5270
天天,5266
皮肤,5257
狗尿苔,5254
弟,5252
谈论,5252
轻轻地,5250
微,5247
傻,5241
十五,5239
上午,5237
战士,5237
共同,5236
恶,5236
费,5236
吸引,5234
村子,5234
必定,5232
割,5232
节,5232
追求,5227
从不,5220
出发,5216
创作,5213
抛,5210
神圣,5208
混,5204
司机,5199
两三,5196
用力,5189
相互,5189
情人,5185
当初,5184
略,5182
朵,5181
土,5179
一部分,5175
可笑,5173
枚,5173
青,5172
食物,5171
注,5167
猛,5159
等于,5155
臭,5153
队长,5152
挣扎,5148
表达,5147
耳,5142
此外,5141
拳,5135
在家,5131
泪水,5128
今,5128
写作,5124
欣赏,5120
泪,5119
捉,5118
摘,5117
会议,5116
伤害,5116
一刻,5115
卧室,5111
小孩子,5107
礼,5107
复杂,5106
发觉,5101
读书,5100
傍晚,5093
财产,5087
谈谈,5086
主席,5085
几十,5085
中心,5084
屋顶,5083
性命,5079
黄蓉,5077
钥匙,5075
公子,5074
选,5073
不够,5066
尺,5066
除非,5065
载,5059
童霜威,5058
幻想,5053
王后,5051
一家,5050
因而,5050
提醒,5050
伦敦,5048
捡,5045
吾,5039
宽,5031
现代,5030
船长,5029
台,5019
武林,5018
依,5018
干吗,5011
杀人,5005
杀死,5003
项,5001
之上,4999
牵,4999
帮忙,4995
足以,4995
扬,4994
均,4992
牙,4989
失败,4988
百,4988
迎,4986
其余,4981
存,4974
长大,4968
母,4967
各自,4966
怒,4965
作出,4959
扫,4959
脏,4959
哈哈,4952
斗,4951
亲戚,4949
纷纷,4949
蛇,4949
清醒,4948
增加,4942
难受,4942
嫌,4940
异常,4939
窗口,4933
特殊,4928
文艺,4921
少爷,4920
悲哀,4915
判断,4914
最初,4914
打扮,4911
厚,4910
信仰,4908
姐,4907
我家,4900
何必,4891
院长,4887
高大,4886
运,4880
皮,4879
善良,4874
遇见,4873
之类,4871
劳动,4871
供,4870
绅士,4868
忍,4866
外国,4863
做到,4862
静,4861
响起,4859
盘,4858
再见,4857
孤独,4857
大海,4857
锅,4856
疯狂,4854
走近,4851
口气,4848
老人家,4847
善,4847
偶然,4846
宣布,4843
沈浪,4843
寂寞,4842
古怪,4842
石,4842
采取,4840
通知,4834
争,4831
无比,4830
急忙,4829
沉思,4829
好人,4828
热闹,4827
北,4820
瞎,4819
尊敬,4815
含,4815
