音节	字数	已用位	空位	得分	音节总频	理想前k未获简码字
md	11	8	19	99.5	7019832	霾3 劢0 鿏0
lr	11	4	23	93.4	563815	栾1 鸾1 峦0 挛0 孪0 娈0 脔0
bd	11	7	20	90.5	3451961	摆32 稗0 捭0
ga	11	9	18	99.1	461124	戛0
nk	11	9	18	99.7	567554	佞0 聍0
cu	11	10	17	100.0	671330	徂0
pd	11	10	17	99.8	3293945	湃0
bf	11	10	17	100.0	6070172	倴0
vd	11	7	20	86.3	1241604	窄8 寨8 瘵0
xs	11	10	17	100.0	971669	讻0
gl	11	9	18	99.9	2430603	犷0 垙0
nj	11	10	17	99.9	4099913	囡0
pb	11	7	20	93.8	2112124	聘11 嫔1 颦0 姘0
ie	10	9	18	97.2	4001292	扯11
kc	10	7	20	99.7	3008032	尻0 犒0 㸆0
fa	10	8	19	100.0	6376334	垡0
ly	10	10	17	100.0	1728580	
zd	10	6	21	99.8	62969435	宰5 哉4 栽2
sa	10	7	20	99.9	814901	挲0 潵0 靸0
iv	10	8	19	99.7	465587	棰0 圌0
nu	10	4	23	80.3	426934	奴6 弩1 驽0 胬0 砮0 孥0
no	10	9	18	100.0	1038085	搦0
rh	10	10	17	100.0	7908988	
kz	10	8	19	97.8	1644947	抠3 芤0
cc	10	8	19	77.1	1046293	操23 艚0
vv	10	8	19	98.7	614945	赘0 缒0
vl	10	8	19	90.8	2435084	妆12 壮9
uo	10	8	19	99.9	14247845	烁1 槊0
tv	10	10	17	100.0	1793911	
qs	9	6	21	99.7	300714	蛩0 銎0 䓖0
tg	9	5	22	88.5	594973	滕6 縢0 螣0 䲢0
le	9	8	19	100.0	61046358	
mf	9	8	19	98.8	5968702	闷7
mz	9	9	18	100.0	1932696	
id	9	9	18	100.0	1740095	
ks	9	9	18	100.0	1801545	
zy	9	9	18	100.0	241041	
ul	9	7	20	100.0	1717509	漴0 鹴0
hh	9	9	18	100.0	3832896	
sc	9	8	19	98.6	250477	瘙0
zz	9	8	19	100.0	2673940	鄹0
nq	9	7	20	100.0	1145230	狃0
