㑇	亻 ⺈ 彐
呻	口 日 2
呼	口 ㇒ 丷 1 2
命	𠆢 1 口 卩
咀	口 且
咂	口 匚 巾
咄	口 出
咆	口 3 5 巳
咇	口 ㇏ 6 ㇏ 八
咉	口 2 5 大
咋	口 𠂉 2 二
和	禾 口
咍	口 厶 口
咎	夂 2 4 口
咏	口 ㇏ 5 5 ㇒ ㇏
咐	口 付
咒	口 口 几
咔	口 2 二 卜
咕	口 古
咖	口 力 口
咙	口 𠂇  ㇏
咚	口 夂 4 4
咛	口 宀 丁
咝	口 纟 纟
咡	口 耳
咣	口 ⺌ 1 儿
咤	口 宀 ㇒ 七
咥	口 至
咦	口 1 5 1 5 人
咧	口 歹 刂
咨	冫 ⺈ 人 口
咩	口 羊
咪	口 米
咫	尸 ㇏ 口 八
咬	口 亠 八 乂
咯	口 各
咱	口 自
咳	口 亠 6 3 人
咴	口 𠂇 火
咸	厂 1 口 戈
咺	口 1 日 1
咻	口 亻 木
咽	口 囗 大
咿	口 亻 5 二 3
哀	亠 口 3 6 ㇒ ㇏
品	口 口 口
哂	口 西
哃	口 冂 1 口
哄	口 艹 1 八
哆	口 夕 夕
哇	口 土 土
哈	口 𠆢 1 口
哉	十 戈 口
哌	口 ㇒ 3 ㇒ 戈
响	口 3 冂 口
哎	口 艹 乂
哏	口 彐 6 ㇒ ㇏
哐	口 匚 王
哑	口 1 2 ⺌ 1
哒	口 大 辶
哓	口 1 6 ㇒ 1 儿
哔	口 1 6 匕 十
哕	口 山 夕
哗	口 亻  十
哙	口 𠆢 二 厶
哚	口 几 木
哝	口 冖 3 6 ㇒ ㇏
哞	口 厶 牛
哟	口 纟 勺
哢	口 王 𠂇 2
哥	可 可
哦	口 ㇒ 扌 戈
哧	口 土 3 小
哨	口 ⺌ 
哩	口 日 
哪	口 5 二 3 阝
哭	口 口 犬
哮	口 十 𠂇 子
哱	口 十 冖 子
哲	扌 斤 口
哳	口 扌 斤
哺	口 甫
哼	口 亠 口 5 2
哽	口 1 日 乂
哿	力 口 可
唁	口 言
唆	口 厶 八 夂
唇	厂 二 戈 口
唉	口 厶 𠂉 大
唏	口 乂 𠂇 巾
唐	广 5 𰀁 口
唑	口 人 人 土
唔	口 五 口
唛	口 龶 夂
唝	口 工 贝
唠	口 艹 冖 力
唢	口 ⺌ 贝
唣	口 白 七
唤	口 ⺈ 2 5 大
唧	口 彐 6 ㇏ 卩
唪	口 三 人 𰀁
唬	口 2 1 5 3 七 几
售	亻 亠 龶 口
唯	口 亻 亠 龶
唰	口 尸 巾 刂
唱	口 日 日
唳	口 户 犬
唵	口 大 电
唷	口 亠 厶 
唼	口 立 女
唾	口 千 艹 二
唿	口 勿 心
啁	口  土 口
啃	口  
啄	口 1 ㇒ 5 ㇒ ㇒ ㇏ ㇒ ㇏
商	亠 丷 冂 八 口
啉	口 木 木
啊	口 阝 可
啐	口 亠 人 人 十
啕	口 3 5 𠂉 1 山
啖	口 火 火
啜	口 又 又 又 又
啡	口  1 2 三
啤	口 白 3 十
啥	口 𠆢 干 口
啦	口 扌 立
啧	口 龶 贝
啪	口 扌 白
啫	口 十 𠂇 日
啬	十 丷 1 囗 口
啭	口  专
啮	口  人 凵
啰	口 罒 夕
啴	口 丷 日 十
啵	口 氵 5 3 2 又
啶	口 宀 1 龰
啷	口 ㇏ 彐 6 ㇏ 阝
啸	口 5 𰀁 3 2 八
啻	亠 丷 冖 巾 口
啼	口 亠 丷 冖 巾
啾	口 千 𠆢 火
喀	口 宀 各
喁	口 日 
喂	口 田 1 戈
喃	口 十 冂 丷 干
善	羊 丷 1 口
喆	士 口 士 口
喇	口 束 刂
喈	口 1 6 匕 白
喉	口 亻 5 1 𠂉 大
喊	口 厂 1 口 戈
喋	口 廿 6 木
喏	口 艹 𠂇 口
喑	口 立 日
喔	口 尸 至
喘	口 山 而
喙	口 6 5 豕
喜	士 口 丷 1 口
喝	口 日 3 5 人 6
喟	口 田 
喤	口 白 王
喧	口 宀 1 日 1
喱	口 厂 日 
喳	口 木 日 1
喵	口 艹 田
喷	口 十 艹 贝
喹	口 大 土 土
喻	口 𠆢 1  刂
喽	口 米 女
喾	  口
嗄	口 1 自 夂
嗅	口 自 犬
嗉	口 龶 糸
嗌	口 丷 1 八 皿
嗍	口 丷 1 6 2 3 月
嗐	口 宀 丰 口
嗑	口 土 厶 皿
嗒	口 艹 𠆢 1 口
嗓	口 又 又 又 木
嗔	口 真
嗖	口 臼 2 又
嗜	口 十 𠂇 匕 日
嗝	口 1 口 冂 丷 1 2
嗞	口 丷 1 6 厶 6 厶
嗟	口 丷 三 3 工
嗡	口 八 厶 习 习
嗣	口  5 1 口
嗤	口 6 2 2 1 虫
嗥	口 白 大 十
嗦	口 十 冖 糸
嗨	口 氵 𠂉 母
嗪	口 三 人 千 𠆢
嗫	口 耳 又 又
嗬	口 艹 亻 可
嗯	口 囗 大 心
嗲	口 八 乂 夕 夕
嗳	口 爫 冖 𠂇 又
嗵	口 龴  辶
嗷	口 龶 5 3 攵
嗽	口 束 ⺈ 人
嗾	口 方 𠂉 𠂉 大
嘀	口 亠 丷 冂 古
嘁	口 厂 2 二 小 戈
嘈	口 1 囗 艹 日
嘉	士 口 丷 1 力 口
嘌	口 覀 二 小
嘎	口 1 自 戈
嘏	古 5 1 2 二 5 1 又
嘘	口 2 1 5 3 七 2 ⺌ 1
嘚	口 彳 日 1 寸
嘛	口 麻
嘞	口 廿 口 十 力
嘟	口 十 𠂇 日 阝
嘡	口  口 土
嘣	口 山 月 月
嘤	口 贝 贝 女
嘧	口 宀 ㇏ 6 ㇏ 八 山
嘬	口 日 耳 又
嘭	口 士 口 丷 1 彡
