㑇	亻 ⺈ 彐
登	5 ㇏ 3 3 ㇏ 1 口 丷 1
白	白
百	1 白
癿	白 6
皂	白 七
的	白 勺
皆	比 白
皇	白 王
皈	白 ㇒ 3 又
皋	白 大 十
皎	白 亠 八 乂
皑	白 山 己
皓	白  口
皕	1 白 1 白
皖	白 宀 二 儿
皙	木 斤 白
皛	白 白 白
皞	白 白 大 十
皤	白 ㇒ 米 田
皦	白 白 方 攵
皭	白 爫 罒 彐 6 ㇏ 寸
皮	5 3 2 又
皱	⺈ 彐 5 3 2 又
皲	冖  5 3 2 又
皴	厶 八 夂 5 3 2 又
皿	皿
盂	于 皿
盅	口 2 皿
盆	八 刀 皿
盈	5 3 又 皿
盉	禾 皿
益	丷 1 八 皿
盍	土 厶 皿
盎	冂 大 皿
盏	二 戈 皿
盐	土 2 4 皿
监	2 2 𠂉 ㇏ 皿
盒	𠆢 1 口 皿
盔	𠂇 火 皿
盖	丷 王 皿
盗	冫 ⺈ 人 皿
盘	舟 皿
盛	成 皿
盟	日 月 皿
盥	㇒ 2 二 水 5 二 皿
盦	𠆢 ㇏ 5 西 1 皿
目	目
盯	目 丁
盱	目 于
盲	亠 6 目
直	直
盷	目 3 5 冫
相	木 目
盹	目 1 6 2 6
盼	目 八 刀
盾	㇒ 3 十 目
省	2 八 3 目
眄	目 1 2 6 5
眇	目 2 八 3
眈	目 冖 儿
眉	尸 2 目
眊	目 毛
看	龵 目
眍	目 匚 乂
眙	目 厶 口
眚	3 龶 目
真	真
眠	目 民
眢	夕 ⺋ 目
眦	目  匕
眨	目 ㇒ ㇏ 5 4
眩	目 亠 6 厶
眬	目 𠂇  ㇏
眭	目 土 土
眯	目 米
眵	目 夕 夕
眶	目 匚 王
眷	丷 夫 目
眸	目 厶 牛
眺	目 3 冫 6 ㇒ 4
眼	目 彐 6 ㇒ ㇏
着	丷 三 3 目
睁	目 ⺈ 5 二 2
睃	目 厶 八 夂
睄	目 ⺌ 
睇	目 弟
睎	目 乂 𠂇 巾
睐	目 1 米
睑	目 𠆢 1 ㇏ 丷 1
睚	目 厂 土 土
睛	目 龶 
睡	目 千 艹 二
睢	目 亻 亠 龶
督	2 二 小 又 目
睥	目 白 3 十
睦	目 土 八 土
睨	目 臼 儿
睫	目 1 5 𰀁 1 3 4
睬	目 爫 木
睹	目 十 𠂇 日
睽	目 5 ㇏ 3 3 ㇏ 1 大
睾	3 罒 土 丷 干
睿	卜 冖 1 八 𠆢 目
瞀	予 3 攵 目
瞄	目 艹 田
瞅	目 千 𠆢 火
瞋	目 真
瞌	目 土 厶 皿
瞍	目 臼 2 又
瞎	目 宀 丰 口
瞑	目 冖 日 亠 八
瞒	目 艹 1 冂 人 人
瞟	目 覀 二 小
瞠	目  口 土
瞢	艹 罒 冖 目
瞥	丷 巾 八 攵 目
瞧	目 亻 亠 龶 灬
瞩	目 尸 ㇒ 口 
瞪	目 5 ㇏ 3 3 ㇏ 1 口 丷 1
瞫	目 覀 日 十
瞬	目 爫 冖 夕 1 6 2
瞭	目 大 丷 日 小
瞰	目 5 耳 攵
瞳	目 立 日 
瞵	目 米 夕 1 6 2
瞻	目 ⺈ 厂 八 言
瞽	士 口 丷 1 十 又 目
瞿	目 目 亻 亠 龶
矍	目 目 亻 亠 龶 又
矗	直 直 直
矛	予 3
矜	予 3 𠆢 ㇏ 5
矞	予 3 冂 八 口
矢	𠂉 大
矣	厶 𠂉 大
知	𠂉 大 口
矧	𠂉 大 5 1 5 2
矩	𠂉 大 匚 5 1
矫	𠂉 大 ㇒ 大 3 2
矬	𠂉 大 人 人 土
短	𠂉 大 1 口 丷 1
矮	𠂉 大 千 𠆢 女
矰	𠂉 大 丷 囗 ⺌ 日
石	石
矶	石 几
矸	石 干
矻	石 𠂉 ㇈
矼	石 工
矾	石 几 ㇏
矿	石 广
砀	石 𠃓
码	石 马
砂	石 2 八 3
砄	石 5 大
砆	石 夫
砉	丰 石
砌	石 七 刀
砍	石 ⺈ 人
砑	石 1 6 2 3
砒	石 比
研	石 1 𠂇 2
砖	石 专
砗	石 车
砘	石 1 6 2 6
砚	石 见
砜	石  乂
砝	石 土 厶
砟	石 𠂉 2 二
砠	石 且
砣	石 宀 匕
砥	石 氏 ㇏
砧	石 2 1 口
砫	石 亠 土
砬	石 立
砭	石 ㇒ ㇏ 5 4
砮	女 又 石
砰	石 1 丷 十
破	石 5 3 2 又
砵	石 木 1
砷	石 日 2
砸	石 匚 巾
砹	石 艹 乂
砺	石 厉
砻	𠂇  ㇏ 石
砼	石 𠆢 工
砾	石 ㇒ 6 小
础	石 出
硁	石 5 ㇏ 工
硅	石 土 土
硇	石 3 囗 乂
硊	石 ⺈ 厂 ⺋
硌	石 各
硍	石 彐 6 ㇒ ㇏
硎	石 1 𠂇 2 刂
硐	石 冂 1 口
硒	石 西
硔	石 艹 1 八
硕	石 1 3 贝
硖	石 1 丷 大
硗	石 1 6 ㇒ 1 儿
硙	石 山 己
硚	石 ㇒ 大 3 2
硝	石 ⺌ 
硪	石 ㇒ 扌 戈
硫	石 亠 厶 
硬	石 1 日 乂
硭	石 艹 亠 6
确	石 ⺈ 用
硼	石 月 月
硿	石 宀 八 工
碃	石 龶 
碇	石 宀 1 龰
碈	石 氏 日
碉	石  土 口
碌	石  氺
碍	石 日 1 寸
碎	石 亠 人 人 十
碏	石 艹 1 日
碑	石 白 3 十
碓	石 亻 亠 龶
碗	石 宀 夕 ⺋
碘	石 2 5 艹 1 八
碚	石 立 口
碛	石 龶 贝
碜	石 厶 大 彡
碟	石 廿 6 木
碡	石 龶 母
碣	石 日 3 5 人 6
碥	石 户 
碧	王 白 石
碨	石 田 1 戈
碰	石 丷 1 2 ⺌ 1
碱	石 厂 1 口 戈
碲	石 亠 丷 冖 巾
碳	石 山 𠂇 火
碴	石 木 日 1
碶	石 丰 刀 大
碹	石 宀 1 日 1
碾	石 尸 艹 1 戈
磁	石 丷 1 6 厶 6 厶
磅	石 亠 丷 冖 方
磉	石 又 又 又 木
磊	石 石 石
磋	石 丷 三 3 工
磏	石 丷 1 5 1 艹 八
磐	舟 殳 石
磔	石 夕 1 6 2 木
磕	石 土 厶 皿
磙	石 亠 八 厶 3 6 ㇒ ㇏
磜	石 夕 4 5 ㇏ 二 小
磡	石  八 6 力
磨	麻 石
磬	士 尸 2 殳 石
磲	石 氵 匚 5 1 木
磴	石 5 ㇏ 3 3 ㇏ 1 口 丷 1
磷	石 米 夕 1 6 2
磹	石 覀 日 十
磻	石 ㇒ 米 田
礁	石 亻 亠 龶 灬
礅	石 亠 口 子 攵
礌	石  田
礓	石 1 田 1 田 1
礞	石 艹 冖 1 豕
礴	石 艹 氵 甫 寸
礵	石  木 目
示	二 小
礼	礻 6
社	礻 土
祀	礻 巳
祁	礻 阝
祃	礻 马
祆	礻 1 大
祇	礻 氏
祈	礻 斤
祉	礻 
祊	礻 方
祋	礻 殳
祎	礻 韦
祏	礻 石
祐	礻 𠂇 口
祓	礻 𠂇 又 ㇏
祕	礻 ㇏ 6 ㇏ 八
祖	礻 且
祗	礻 氏 ㇏
祚	礻 𠂉 2 二
祛	礻 土 厶
祜	礻 古
祝	礻 兄
神	礻 日 2
祟	出 二 小
祠	礻 5 1 口
祢	礻 ⺈ 小
祥	礻 羊
祧	礻 3 冫 6 ㇒ 4
票	覀 二 小
祭	夕 4 5 ㇏ 二 小
祯	礻 2 1 贝
祲	礻 彐 冖 又
祷	礻 三 3 寸
祸	礻 口 冂 人
祺	礻  八
祼	礻 日 木
祾	礻 土 八 夂
禀	亠 囗 口 二 小
禁	木 木 二 小
禄	礻  氺
禅	礻 丷 日 十
禊	礻 丰 刀 大
禋	礻 覀 土
福	礻 1 口 田
禒	礻 6 5 豕
禔	礻 日 1 龰
禘	礻 亠 丷 冖 巾
禚	礻 丷 王 灬
禛	礻 真
禤	礻 罒 习 习
禧	礻 士 口 丷 1 口
禳	礻 亠 口 口 1 艹 1 3 6 ㇒ ㇏
禹	㇒ 口 
禺	日 
离	亠 乂 6 2 冂 厶
禽	𠆢 亠 乂 6 2 冂 厶
禾	禾
秀	禾 5 3
私	禾 厶
秃	禾 几
秆	禾 干
秉	㇒ 1 5 𰀁 𠆢
秋	禾 火
种	禾 口 2
科	禾 氵 2
秒	禾 2 八 3
秕	禾 比
秘	禾 ㇏ 6 ㇏ 八
租	禾 且
秣	禾 末
秤	禾 1 丷 十
秦	三 人 千 𠆢
秧	禾 2 5 大
秩	禾 3 夫
秫	禾 木 ㇏
秬	禾 匚 5 1
秭	禾 ㇒ 5 2 3
积	禾 口 八
称	禾 ⺈ 小
秸	禾 士 口
移	禾 夕 夕
秽	禾 山 夕
秾	禾 冖 3 6 ㇒ ㇏
稀	禾 乂 𠂇 巾
稂	禾 ㇏ 彐 6 ㇒ ㇏
稃	禾 爫 子
稆	禾 口 口
程	禾 口 王
稌	禾 𠆢 于 八
稍	禾 ⺌ 
税	禾 丷 兄
稑	禾 土 八 土
稔	禾 𠆢 ㇏ 5 心
稗	禾 白 3 十
稙	禾 直
稚	禾 亻 亠 龶
稞	禾 日 木
稠	禾  土 口
稣	鱼 千 𠆢
稳	禾 ⺈ 彐 心
稷	禾 田 八 夂
稹	禾 真
稻	禾 爫 臼
稼	禾 宀 豕
稽	禾 尤 匕 日
稿	禾 高
穄	禾 夕 4 5 ㇏ 二 小
穆	禾 白 小 彡
穑	禾 十 丷 1 囗 口
穗	禾 1 日 2 1 ㇏ 心
穙	禾 2 ⺌ 1 丷 1 夫
穜	禾 立 日 
穟	禾 丷 豕 辶
穰	禾 亠 口 口 1 艹 1 3 6 ㇒ ㇏
穴	宀 八
究	宀 八 3 ㇈
穷	宀 八 力
穸	宀 八 夕
穹	宀 八 5 丂
空	宀 八 工
穿	宀 八 1 6 2 3
窀	宀 八 1 6 2 6
突	宀 八 犬
窃	宀 八 七 刀
窄	宀 八 𠂉 2 二
窅	宀 八 目
窈	宀 八 6 厶 力
窊	宀 八 ㇒ 3 6 ㇏ ㇏
窍	宀 八 工 丂
窎	宀 八 鸟
窑	宀 八 𠂉 1 山
窒	宀 八 至
窕	宀 八 3 冫 6 ㇒ 4
窖	宀 八  口
窗	宀 八 3 囗 夂
窘	宀 八 5 二 3 口
窜	宀 八 口 口 2
窝	宀 八 口 冂 人
窟	宀 八 尸 出
窠	宀 八 日 木
窣	宀 八 亠 人 人 十
窥	宀 八 夫 见
窦	宀 八 十 5 氵 人
窨	宀 八 立 日
窬	宀 八 𠆢 1  刂
窭	宀 八 米 女
窳	宀 八 ㇒ 3 6 ㇏ ㇏ ㇒ 3 6 ㇏ ㇏
窸	宀 八 ㇒ 米 心
窿	宀 八 阝 夂 1 3 龶
立	立
竑	立 𠂇 厶
竖	2 2 又 立
竘	立 句
站	立 2 1 口
竞	立 兄
竟	立 日 儿
章	立 日 十
竣	立 厶 八 夂
童	立 日 
竦	立 束
竫	立 ⺈ 5 二 2
竭	立 日 3 5 人 6
端	立 山 而
竹	⺮
竺	⺮ 二
竽	⺮ 于
竿	⺮ 干
笃	⺮ 马
笄	⺮ 1 𠂇 2
笆	⺮ 巴
笈	⺮ 及
笊	⺮ ㇒ 3 2 ㇏
笋	⺮ 5 二 3
笏	⺮ 勿
笑	⺮ ㇒ 大
笔	⺮ 毛
笕	⺮ 见
笙	⺮ 3 龶
笛	⺮ 日 2
笞	⺮ 厶 口
笠	⺮ 立
笤	⺮ 刀 口
笥	⺮ 5 1 口
符	⺮ 付
笨	⺮ 木 1
笪	⺮ 日 1
笫	⺮ ㇒ 5 2 3
第	⺮ 弟
笮	⺮ 𠂉 2 二
笯	⺮ 女 又
笱	⺮ 句
笳	⺮ 力 口
笸	⺮ 匚 口
笺	⺮ 戋
笼	⺮ 𠂇  ㇏
笾	⺮ 力 辶
筀	⺮ 土 土
筅	⺮  儿
筇	⺮ 工 阝
等	⺮ 土 寸
筋	⺮ 月 力
筌	⺮ 𠆢 王
筏	⺮ 亻 戈
筐	⺮ 匚 王
筑	⺮ 工 几 ㇏
筒	⺮ 冂 1 口
答	⺮ 𠆢 1 口
策	⺮ 1 巾 𠆢
筘	⺮ 扌 口
筚	⺮ 1 6 匕 十
筛	⺮ 2 3 1 巾
筜	⺮ ⺌ 彐
筝	⺮ ⺈ 5 二 2
筠	⺮ 土 3 5 冫
筢	⺮ 扌 巴
筤	⺮ ㇏ 彐 6 ㇒ ㇏
筥	⺮ 口 口
筦	⺮ 宀 二 儿
筮	⺮ 工 人 人
筱	⺮ 亻 2 攵
筲	⺮ ⺌ 
筵	⺮ ㇒ 2 1 6 廴
筶	⺮  口
筷	⺮ 忄 5 大
筹	⺮ 三 3 寸
筻	⺮ 1 日 乂
筼	⺮ 口 贝
签	⺮ 𠆢 1 ㇏ 丷 1
简	⺮ 门 日
箅	⺮ 田 1 3 2
箍	⺮ 扌 匚 巾
箐	⺮ 龶 
箓	⺮  氺
箔	⺮ 氵 白
箕	⺮  八
箖	⺮ 木 木
算	⺮ 目 𠂇 2
箜	⺮ 宀 八 工
管	⺮ 宀 
箢	⺮ 宀 夕 ⺋
箦	⺮ 龶 贝
箧	⺮ 匚 1 丷 大
箨	⺮ 扌 又 𰀁
箩	⺮ 罒 夕
箪	⺮ 丷 日 十
箫	⺮ 5 𰀁 3 2 八
箬	⺮ 艹 𠂇 口
箭	⺮ 丷 1  刂
箱	⺮ 木 目
箴	⺮ 厂 1 口 戈
箸	⺮ 十 𠂇 日
篁	⺮ 白 王
篆	⺮ 6 5 豕
篇	⺮ 户 
篌	⺮ 亻 5 1 𠂉 大
篑	⺮ 口 2 1 贝
篓	⺮ 米 女
篙	⺮ 高
篚	⺮ 匚  1 2 三
篝	⺮ 1 艹 1 冂 
篡	⺮ 目 大 厶
篥	⺮ 覀 木
篦	⺮ 3 囗 乂 比
篪	⺮ ㇒ 3 2 1 5 3 七 几
篮	⺮ 2 2 𠂉 ㇏ 皿
篯	⺮ 钅 戋
篱	⺮ 亠 乂 6 2 冂 厶
篷	⺮ 夂 丰 辶
篼	⺮ 白 ㇒ 6 5 1 儿
篾	⺮ 罒 厂 ㇏ 戈
簃	⺮ 千 𠆢 夕 夕
簇	⺮ 方 𠂉 𠂉 大
簉	⺮  口 辶
簋	⺮ 彐 6 ㇒ ㇏ 皿
簌	⺮ 束 ⺈ 人
簏	⺮ 广 5 2 2 1 比
簕	⺮ 廿 口 十 力
簖	⺮ 米 6 斤
簝	⺮ 大 丷 日 小
簟	⺮ 覀 日 十
簠	⺮ 甫 皿
簧	⺮ 艹 1 1 日 乂
簪	⺮ 1 6 儿 1 6 儿 日
簰	⺮ 片 白 3 十
簸	⺮  八 5 3 2 又
簿	⺮ 氵 甫 寸
籀	⺮ 扌 ㇒ 6 ㇏ 刀 田
籁	⺮ 束 ⺈ 贝
籍	⺮ 丰 𠆢 艹 1 日
籥	⺮ 𠆢 1 口 口 口 
米	米
籴	3 ㇏ 米
类	米 大
籼	米 山
籽	米 子
粉	米 八 刀
粑	米 巴
粒	米 立
粕	米 白
粗	米 且
粘	米 2 1 口
粜	出 米
粝	米 厉
粞	米 西
粟	覀 米
粢	冫 ⺈ 人 米
粤	3 囗 米 丂
粥	弓 米 5 丂
粪	米 艹 1 八
粮	米 ㇏ 彐 6 ㇒ ㇏
粱	氵 刀 ㇏ ㇏ 米
粲	卜 夕 又 米
粳	米 1 日 乂
粹	米 亠 人 人 十
粼	米 夕 1 6 2 6 6
粽	米 宀 二 小
精	米 龶 
粿	米 日 木
糁	米 厶 大 彡
糅	米 予 3 木
糇	米 亻 5 1 𠂉 大
糈	米 5 2 1 3 4 
糊	米 古 月
糌	米 夂 2 4 日
糍	米 丷 1 6 厶 6 厶
糒	米 艹 1 3 
糕	米 丷 王 灬
糖	米 广 5 𰀁 口
糗	米 自 犬
糙	米  口 辶
糜	麻 米
糟	米 1 囗 艹 日
糠	米 广 5 二 氺
糨	米 5 1 5 口 虫
糯	米  而
糵	艹 3  辛 米
系	㇒ 糸
紊	文 糸
素	龶 糸
索	十 冖 糸
紧	2 2 又 糸
紫	 匕 糸
累	田 糸
絜	丰 刀 糸
絮	女 口 糸
絷	扌 3 ㇈ ㇏ 糸
綦	 八 糸
綮	户 攵 糸
縠	士 冖 1 糸 殳
縢	月 丷 夫 糸
縻	麻 糸
繁	𠂉 6 5 亠 ㇏ 攵 糸
繄	匚 𠂉 大 殳 糸
繇	爫 𠂉 1 山 ㇒ 糸
纂	⺮ 目 大 糸
纛	龶 6 5 亠 ㇏ 且 丁 八 ㇒ 糸
纠	纟 6 2
纡	纟 于
红	纟 工
纣	纟 寸
纤	纟 千
纥	纟 𠂉 ㇈
约	纟 勺
级	纟 及
纨	纟 3 ㇈ ㇏
纩	纟 广
纪	纟 己
纫	纟 刀 ㇏
纬	纟 韦
纭	纟 二 厶
纮	纟 𠂇 厶
纯	纟 1 6 2 6
纰	纟 比
纱	纟 2 八 3
纲	纟 冂 乂
纳	纟 冂 人
纴	纟 千 1
纵	纟 人 人
纶	纟 𠆢 匕
纷	纟 八 刀
纸	纟 氏
纹	纟 文
纺	纟 方
纻	纟 宀 1
纼	纟 5 1 5 2
纽	纟 5 
纾	纟 予
线	纟 戋
绀	纟 甘
绁	纟 廿 6
绂	纟 𠂇 又 ㇏
练	纟 1 6 5 八
组	纟 且
绅	纟 日 2
细	纟 田
织	纟 口 八
终	纟 夂 4 4
绉	纟 ⺈ 彐
绊	纟 丷 𰀁
绋	纟 5 1 5 3 2
绌	纟 出
绍	纟 刀 口
绎	纟 又 𰀁
经	纟 5 ㇏ 工
绐	纟 厶 口
绑	纟 三 3 阝
绒	纟 戈 𠂇
结	纟 士 口
绔	纟 大 二 5
绕	纟 1 6 ㇒ 1 儿
绖	纟 至
绗	纟 彳 1 丁
绘	纟 𠆢 二 厶
给	纟 𠆢 1 口
绚	纟 3 5 日
绛	纟 夂 1 6 2
络	纟 各
绝	纟 ⺈ 巴
绞	纟 亠 八 乂
统	纟 亠 厶 儿
绠	纟 1 日 乂
绡	纟 ⺌ 
绢	纟 口 
绣	纟 千 𠆢 5 3
绤	纟 谷
绥	纟 爫 女
绦	纟 夂 1 小
继	纟 米 6
绨	纟 弟
绩	纟 龶 贝
绪	纟 十 𠂇 日
绫	纟 土 八 夂
续	纟 十 5 氵 人
绮	纟 大 可
绯	纟  1 2 三
绰	纟 2 1 日 十
绱	纟 尚
绲	纟 日 比
绳	纟 口 电
维	纟 亻 亠 龶
绵	纟 白 巾
绶	纟 爫 冖 又
绷	纟 月 月
绸	纟  土 口
绹	纟 3 5 𠂉 1 山
绺	纟 夂 2 4 口
绻	纟 丷 夫 ⺋
综	纟 宀 二 小
绽	纟 宀 1 龰
绾	纟 宀 
绿	纟  氺
缀	纟 又 又 又 又
缁	纟 巛 田
缂	纟 廿 口 十
缃	纟 木 目
缄	纟 厂 1 口 戈
缅	纟 1 3 罒 二
缆	纟 2 2 𠂉 ㇏ 见
缇	纟 日 1 龰
缈	纟 目 2 八 3
缉	纟 口 耳
缊	纟 日 皿
缌	纟 田 心
缎	纟 ㇒ 2 三 殳
缐	纟 白 水
缑	纟 亻 5 1 𠂉 大
缒	纟 3  辶
缓	纟 爫 1 𠂇 又
缔	纟 亠 丷 冖 巾
缕	纟 米 女
编	纟 户 
缗	纟 民 日
缘	纟 6 5 豕
缙	纟 1 2 ⺌ 1 日
缚	纟 甫 寸
缛	纟 厂 二 戈 寸
缜	纟 真
缝	纟 夂 丰 辶
缞	纟 亠 口 1 3 6 ㇒ ㇏
缟	纟 高
缠	纟 广 日 
缡	纟 亠 乂 6 2 冂 厶
缢	纟 丷 1 八 皿
缣	纟 丷 1 5 1 艹 八
缤	纟 宀 ㇒ 2 1 2 1 八
缥	纟 覀 二 小
缦	纟 日 罒 又
缧	纟 田 糸
缨	纟 贝 贝 女
缩	纟 宀 亻 1 白
缪	纟 习 习 𠆢 彡
缫	纟 巛 日 木
缬	纟 士 口 1 3 贝
缭	纟 大 丷 日 小
缮	纟 羊 丷 1 口
缯	纟 丷 囗 ⺌ 日
缰	纟 1 田 1 田 1
缱	纟 口 2 1  辶
缲	纟 口 口 口 木
缳	纟 罒 1 口 3 6 ㇒ ㇏
缴	纟 白 方 攵
缵	纟  儿  儿 贝
缶	𠂉 1 山
缸	𠂉 1 山 工
缺	𠂉 1 山 5 大
罂	贝 贝 𠂉 1 山
罄	士 尸 2 殳 𠂉 1 山
罅	𠂉 1 山 2 1 5 3 七 ㇒ 丷 1 2
罍	田 田 田 𠂉 1 山
罐	𠂉 1 山 艹 口 口 亻 亠 龶
网	冂 乂 乂
罔	冂 丷 1 亠 6
罕	冖 八 干
罗	罒 夕
罘	罒 不
罚	罒 讠 刂
罟	罒 古
罡	罒 1 
罢	罒 土 厶
罨	罒 大 电
罩	罒 2 1 日 十
罪	罒  1 2 三
置	罒 直
罱	罒 十 冂 丷 干
署	罒 十 𠂇 日
罴	罒 土 厶 灬
罶	罒 ㇒ 6 ㇏ 刀 田
罹	罒 忄 亻 亠 龶
罽	罒 厂 火 火 刂
罾	罒 丷 囗 ⺌ 日
羁	罒 廿 口 十 马
羊	羊
羌	丷 三 儿
美	丷 王 大
羑	丷 王 3 5 ㇏
羓	丷 三 3 巴
羔	丷 王 灬
羕	丷 王 ㇏ 5 5 ㇒ ㇏
羖	丷 三 3 殳
羚	丷 三 3 𠆢 ㇏ 龴
羝	丷 三 3 氏 ㇏
羞	丷 三 3 5 
羟	丷 三 3 5 ㇏ 工
羡	丷 王 冫 ⺈ 人
群	5 二 3 口 羊
羧	丷 三 3 厶 八 夂
羯	丷 三 3 日 3 5 人 6
羰	丷 三 3 山 𠂇 火
羱	丷 三 3 厂 白 小
羲	丷 王 千 𠆢 1 5 戈
羸	亠 6 口 月 羊 几 ㇏
羹	丷 王 灬 丷 王 大
羼	尸 羊 丷 三 3 羊
羽	习 习
羿	习 习 𠂇 2
翀	习 习 口 2
翁	八 厶 习 习
翂	习 习 八 刀
翃	𠂇 厶 习 习
翅	十 又 习 习
翈	日 2 习 习
翊	立 习 习
翌	习 习 立
翎	𠆢 ㇏ 龴 习 习
翔	丷 三 3 习 习
翕	𠆢 1 口 习 习
翘	1 6 ㇒ 1 儿 习 习
翙	山 夕 习 习
翚	习 习 冖 车
翛	亻 2 夂 习 习
翟	习 习 亻 亠 龶
翠	习 习 亠 人 人 十
翡	 1 2 三 习 习
翥	耂 日 习 习
翦	丷 1  刂 习 习
翩	户  习 习
翮	1 口 冂 丷 1 2 习 习
翯	习 习 高
翰	十 日 十 𠆢 习 习
翱	白 大 十 习 习
翳	匚 𠂉 大 殳 习 习
翷	米 夕 1 6 2 习 习
翻	㇒ 米 田 习 习
翼	习 习 田 艹 1 八
翾	罒 1 口 3 戈 习 习
耀	⺌ 1 儿 习 习 亻 亠 龶
老	耂 匕
考	耂 丂
耄	耂 匕 毛
者	耂 日
耆	耂 匕 日
耇	耂 句
耋	耂 匕 至
而	而
耍	而 女
耏	而 彡
耐	而 寸
耑	山 而
耒	丰 𠆢
耔	丰 𠆢 子
耕	丰 𠆢 二 3 2
耖	丰 𠆢 2 八 3
耗	丰 𠆢 毛
耘	丰 𠆢 二 厶
耙	丰 𠆢 巴
耜	丰 𠆢 
耠	丰 𠆢 𠆢 1 口
耢	丰 𠆢 艹 冖 力
耤	丰 𠆢 艹 1 日
耥	丰 𠆢 尚
耦	丰 𠆢 日 
耧	丰 𠆢 米 女
耨	丰 𠆢 厂 二 戈 寸
耩	丰 𠆢 1 艹 1 冂 
耪	丰 𠆢 亠 丷 冖 方
耰	丰 𠆢 1 3 2 5 二 冖 心 夂
耱	丰 𠆢 麻 石
耳	耳
耵	耳 丁
耶	耳 阝
耷	大 耳
耸	人 人 耳
耻	耳 
耽	耳 冖 儿
耿	耳 火
聂	耳 又 又
聃	耳 冂 
聆	耳 𠆢 ㇏ 龴
聊	耳 ㇒ 6 3 卩
聋	𠂇  ㇏ 耳
职	耳 口 八
聍	耳 宀 丁
聒	耳 千 口
联	耳 丷 1 大
聘	耳 日 2 丂
聚	耳 又 ㇒ 2 ㇒ ㇒ ㇒ ㇏
聩	耳 口 2 1 贝
聪	耳 丷 口 心
聱	龶 5 3 攵 耳
聿	5 三 十
肃	5 𰀁 3 2 八
肄	匕 𠂉 大 5 三 十
肆	1 2 三 厶 5 三 十
肇	户 攵 5 三 十
肉	冂 人 人
肋	月 力
肌	月 几
肓	亠 6 
肖	⺌ 
肘	月 寸
肚	月 土
肛	月 工
肝	月 干
肟	月 二 5
肠	月 𠃓
股	月 殳
肢	月 十 又
肤	月 夫
肥	月 巴
肩	户 
肪	月 方
肫	月 1 6 2 6
肭	月 冂 人
肮	月 亠 几
肯	 
肱	月 𠂇 厶
育	亠 厶 
肴	乂 𠂇 
肷	月 ⺈ 人
肸	月 八 十
肺	月 1 巾
肼	月 二 3 2
肽	月 大 ㇏
肾	2 2 又 
肿	月 口 2
胀	月 长
胁	月 力 ㇏ ㇏
胂	月 日 2
胃	田 
胄	日 2 
胆	月 日 1
胈	月 𠂇 又 ㇏
背	 匕 
胍	月 ㇒ 3 6 ㇏ ㇏
胎	月 厶 口
胖	月 丷 𰀁
胗	月 𠆢 彡
胙	月 𠂉 2 二
胚	月 1 亻 4 1
胛	月 日 2
胜	月 3 龶
胝	月 氏 ㇏
胞	月 3 5 巳
胠	月 土 厶
胡	古 月
胣	月 𠂉 也
胤	3 6 厶  6
胥	5 2 1 3 4 
胧	月 𠂇  ㇏
胨	月 1 6 小
胩	月 2 二 卜
胪	月 2 1 尸
胫	月 5 ㇏ 工
胬	女 又 冂 人 人
胭	月 囗 大
胯	月 大 二 5
胰	月 1 5 1 5 人
胱	月 ⺌ 1 儿
胲	月 亠 6 3 人
胳	月 各
胴	月 冂 1 口
胶	月 亠 八 乂
胸	月 3 5 乂 凵
胺	月 宀 女
胼	月 丷 1 𠂇 2
能	厶  匕 匕
脂	月 匕 日
脆	月 ⺈ 厂 ⺋
脉	月 ㇏ 5 5 ㇒ ㇏
脊	冫 ㇒ 4 人 
脍	月 𠆢 二 厶
脎	月 乂 1 小
脏	月 广 土
脐	月 文 3 2
脑	月 亠 乂 凵
脒	月 米
脓	月 冖 3 6 ㇒ ㇏
脔	亠 2 2 八 冂 人 人
脖	月 十 冖 子
脘	月 宀 二 儿
脚	月 土 厶 卩
脞	月 人 人 土
脟	月 爫 寸
脩	亻 2 夂 
脬	月 爫 子
脯	月 甫
脱	月 丷 兄
脲	月 尸 水
脶	月 口 冂 人
脸	月 𠆢 1 ㇏ 丷 1
脾	月 白 3 十
脿	月 龶 3 6 ㇒ ㇏
腆	月 2 5 艹 1 八
腈	月 龶 
腊	月 艹 1 日
腋	月 亠 亻 夕 ㇏
腌	月 大 电
腐	广 付 冂 人 人
腑	月 广 付
腒	月 尸 古
腓	月  1 2 三
腔	月 宀 八 工
腕	月 宀 夕 ⺋
腘	月 囗 玉
腙	月 宀 二 小
腚	月 宀 1 龰
腠	月 三 人 1 大
腥	月 日 3 龶
腧	月 𠆢 1  刂
腨	月 山 而
腩	月 十 冂 丷 干
腭	月 口 口 二 5
腮	月 田 心
腯	月 ㇒ 3 十 目
腰	月 覀 女
腱	月 5 三 十 廴
腴	月 臼 人
腹	月 𠂉 日 夂
腺	月 白 水
腻	月 弋 二 贝
腼	月 1 3 罒 二
腽	月 日 皿
腾	月 丷 夫 马
腿	月 彐 6 ㇒ ㇏ 辶
膀	月 亠 丷 冖 方
膂	方 𠂉 ㇒ 戈 
膈	月 1 口 冂 丷 1 2
膊	月 甫 寸
膏	亠 口 冖 口 
膑	月 宀 ㇒ 2 1 2 1 八
膘	月 覀 二 小
膙	月 5 1 5 口 虫
膛	月  口 土
膜	月 艹 日 大
膝	月 木 𠆢 氺
膦	月 米 夕 1 6 2
