词	当前码	建议码	SUBTLEX拼音	SUBTLEX词频	处理建议
未了	wwle	wwln	wei4 liao3	42	第一批；应用前抽查并按基础词表原顺序重排新码位候选
步调	butn	budn	bu4 diao4	42	第一批；应用前抽查并按基础词表原顺序重排新码位候选
血汗	xphj	xthj	xue4 han4	42	第一批；应用前抽查并按基础词表原顺序重排新码位候选
早熟	zcuz	zcuu	zao3 shu2	41	第一批；应用前抽查并按基础词表原顺序重排新码位候选
盛行	igxk	ugxk	sheng4 xing2	41	第一批；应用前抽查并按基础词表原顺序重排新码位候选
相称	xlig	xlif	xiang1 chen4	41	第一批；应用前抽查并按基础词表原顺序重排新码位候选
露宿	lzsu	lusu	lu4 su4	41	第一批；应用前抽查并按基础词表原顺序重排新码位候选
实弹	uitj	uidj	shi2 dan4	40	第一批；应用前抽查并按基础词表原顺序重排新码位候选
血块	xpkk	xtkk	xue4 kuai4	40	第一批；应用前抽查并按基础词表原顺序重排新码位候选
行情	xkqk	hhqk	hang2 qing2	40	第一批；应用前抽查并按基础词表原顺序重排新码位候选
科长	keih	kevh	ke1 zhang3	39	第一批；应用前抽查并按基础词表原顺序重排新码位候选
本行	bfxk	bfhh	ben3 hang2	38	第一批；应用前抽查并按基础词表原顺序重排新码位候选
血栓	xpur	xtur	xue4 shuan1	37	第一批；应用前抽查并按基础词表原顺序重排新码位候选
倔强	jtql	jtjl	jue2 jiang4	36	第一批；应用前抽查并按基础词表原顺序重排新码位候选
没落	mwlo	molo	mo4 luo4	36	第一批；应用前抽查并按基础词表原顺序重排新码位候选
开辟	kdbi	kdpi	kai1 pi4	35	第一批；应用前抽查并按基础词表原顺序重排新码位候选
朴素	pnsu	pusu	pu3 su4	35	第一批；应用前抽查并按基础词表原顺序重排新码位候选
附着	fuve	fuvo	fu4 zhuo2	35	第一批；应用前抽查并按基础词表原顺序重排新码位候选
勒令	lwlk	lelk	le4 ling4	34	第一批；应用前抽查并按基础词表原顺序重排新码位候选
声调	ugtn	ugdn	sheng1 diao4	34	第一批；应用前抽查并按基础词表原顺序重排新码位候选
盛情	igqk	ugqk	sheng4 qing2	34	第一批；应用前抽查并按基础词表原顺序重排新码位候选
血洗	xpxi	xtxi	xue4 xi3	34	第一批；应用前抽查并按基础词表原顺序重排新码位候选
退还	tvhd	tvhr	tui4 huan2	34	第一批；应用前抽查并按基础词表原顺序重排新码位候选
地壳	dike	diqn	di4 qiao4	33	第一批；应用前抽查并按基础词表原顺序重排新码位候选
埋没	mdmw	mdmo	mai2 mo4	33	第一批；应用前抽查并按基础词表原顺序重排新码位候选
血肿	xpvs	xtvs	xue4 zhong3	33	第一批；应用前抽查并按基础词表原顺序重排新码位候选
行话	xkhx	hhhx	hang2 hua4	33	第一批；应用前抽查并按基础词表原顺序重排新码位候选
率先	lvxm	ukxm	shuai4 xian1	32	第一批；应用前抽查并按基础词表原顺序重排新码位候选
内行	nwxk	nwhh	nei4 hang2	31	第一批；应用前抽查并按基础词表原顺序重排新码位候选
改行	gdxk	gdhh	gai3 hang2	31	第一批；应用前抽查并按基础词表原顺序重排新码位候选
重提	vsti	isti	chong2 ti2	30	第一批；应用前抽查并按基础词表原顺序重排新码位候选
午觉	wujt	wujn	wu3 jiao4	29	第一批；应用前抽查并按基础词表原顺序重排新码位候选
家畜	jxxu	jxiu	jia1 chu4	29	第一批；应用前抽查并按基础词表原顺序重排新码位候选
血案	xpan	xtan	xue4 an4	29	第一批；应用前抽查并按基础词表原顺序重排新码位候选
弦乐	xmle	xmyt	xian2 yue4	28	第一批；应用前抽查并按基础词表原顺序重排新码位候选
湖泊	hubo	hupo	hu2 po1	28	第一批；应用前抽查并按基础词表原顺序重排新码位候选
充血	isxp	isxt	chong1 xue4	27	第一批；应用前抽查并按基础词表原顺序重排新码位候选
娴熟	xmuz	xmuu	xian2 shu2	27	第一批；应用前抽查并按基础词表原顺序重排新码位候选
盛典	igdm	ugdm	sheng4 dian3	27	第一批；应用前抽查并按基础词表原顺序重排新码位候选
色调	setn	sedn	se4 diao4	27	第一批；应用前抽查并按基础词表原顺序重排新码位候选
剥离	bcli	boli	bo1 li2	26	第一批；应用前抽查并按基础词表原顺序重排新码位候选
助长	vuih	vuvh	zhu4 zhang3	26	第一批；应用前抽查并按基础词表原顺序重排新码位候选
校正	xnvg	jnvg	jiao4 zheng4	26	第一批；应用前抽查并按基础词表原顺序重排新码位候选
胳臂	gebi	gebw	ge1 bei5	26	第一批；应用前抽查并按基础词表原顺序重排新码位候选
微薄	wwbc	wwbo	wei1 bo2	25	第一批；应用前抽查并按基础词表原顺序重排新码位候选
排行	pdxk	pdhh	pai2 hang2	25	第一批；应用前抽查并按基础词表原顺序重排新码位候选
