根	音节	字对	位置	首末同时	权重	字1分读音频次	字2分读音频次	字1整字频次排名	字2整字频次排名	字1待分配	字2待分配
艹	qian	乾—芊	首根	False	0	101	0	3253	7055	5	0
艹	qian	乾—芡	首根	False	0	101	0	3253	7064	5	0
艹	qian	乾—蒨	首根	False	0	101	0	3253	7167	5	0
艹	suo	索—葰	首根	False	0	8213	0	709	7154	419	0
艹	xian	献—莶	首根	False	0	2258	0	1437	7124	6	0
艹	xie	协—薢	首根	False	0	4168	0	1076	7206	23	0
艹	xie	协—薤	首根	False	0	4168	0	1076	7207	23	0
艹	xiong	芎—雄	首根	False	0	0	3617	7057	1151	0	24
艹	you	友—莸	首根	False	0	40103	0	204	7125	46	0
艹	you	右—莸	首根	False	0	4782	0	1018	7125	1	0
艹	you	有—莸	首根	False	0	533518	0	13	7125	113	0
艹	yu	蓣—郁	首根	False	0	0	1254	7181	1808	0	3
艹	yu	蔚—郁	首根	False	0	0	1254	3576	1808	32	3
艹	zhen	真—葴	首根	False	0	140845	0	54	7156	83	0
艹	zhen	真—蓁	首根	False	0	140845	0	54	7174	83	0
艹	zhi	支—𦭜	首根	False	0	11692	0	563	7930	5	0
艹	zhi	疐—芝	首根	False	0	0	1313	6636	1768	0	29
艹	zhi	疐—芷	首根	False	0	0	1	6636	5163	0	0
艹	zhi	疐—𦭜	首根	False	0	0	0	6636	7930	0	0
艹	zhi	直—𦭜	首根	False	0	46159	0	178	7930	4	0
廾	sheng	升—声	末根	False	4349	4349	18180	1061	382	13	79
廾	jie	介—戒	末根	False	4018	7695	4018	773	1095	1	0
