moves	hard_old	hard_new	full1500	full3500	full6000	short1500	short3500	three1500	three3500	score
土:r>q 忄:p>y 月:w>t 田:o>n 艹:f>p	1	1	0	39	239	0	8	1337	2619	2506305
土:r>v 忄:p>q 月:w>t 田:o>q 艹:f>p	1	1	0	39	230	0	8	1336	2616	2506180
土:r>m 忄:p>h 月:w>t 田:o>n 艹:f>p	1	1	0	39	233	0	8	1335	2623	2506245
土:r>v 忄:p>q 月:w>t 田:o>y 艹:f>p	1	1	0	40	232	0	9	1338	2623	2508805
土:r>q 忄:p>w 月:w>v 田:o>n 艹:f>p	1	1	0	40	232	0	11	1339	2613	2511215
土:r>m 忄:p>h 月:w>v 田:o>n 艹:f>p	1	1	0	40	224	0	11	1337	2620	2511100
土:r>q 忄:p>y 月:w>v 田:o>n 艹:f>p	1	1	0	41	232	0	11	1339	2616	2512700
土:r>v 巾:a>r 月:w>t 田:o>n 艹:f>b	1	1	0	43	288	0	10	1332	2604	2515960
土:r>v 巾:a>x 月:w>t 田:o>n 艹:f>b	1	1	0	44	290	0	10	1332	2607	2517485
土:r>v 巾:a>q 月:w>t 田:o>n 艹:f>b	1	1	0	44	284	0	10	1332	2604	2517380
土:r>v 巾:a>o 月:w>t 田:o>n 艹:f>b	1	1	0	45	288	0	12	1332	2606	2521350
土:r>v 忄:p>q 月:w>v 田:o>q 艹:f>p	1	1	0	45	237	0	13	1334	2602	2521470
土:r>v 忄:p>q 月:w>v 田:o>y 艹:f>p	1	1	0	46	239	0	14	1336	2609	2524095
土:r>q 忄:p>h 月:w>t 木:s>a 艹:f>p	1	1	0	48	255	0	14	1329	2596	2527760
土:r>v 巾:a>r 月:w>v 田:o>n 艹:f>b	1	1	0	48	295	0	15	1330	2590	2529750
土:r>v 巾:a>x 月:w>v 田:o>n 艹:f>b	1	1	0	49	296	0	15	1330	2593	2531255
土:r>v 巾:a>q 月:w>v 田:o>n 艹:f>b	1	1	0	49	290	0	15	1330	2590	2531150
土:r>q 忄:p>h 月:w>v 木:s>a 艹:f>p	1	1	0	49	247	0	16	1331	2593	2531435
土:r>q 忄:p>h 月:w>t 田:o>n 艹:f>s	1	1	0	50	279	0	14	1332	2591	2531145
土:r>v 巾:a>o 月:w>v 田:o>n 艹:f>b	1	1	0	50	294	0	17	1330	2592	2535120
土:r>q 忄:p>h 月:w>v 田:o>n 艹:f>s	1	1	0	51	271	0	16	1334	2588	2534820
亻:e>o 巾:a>l 月:w>t 田:o>s 艹:f>e	1	1	1	35	235	0	6	1321	2584	4498640
亻:e>o 巾:a>l 月:w>t 田:o>q 艹:f>e	1	1	1	35	233	0	6	1320	2581	4498655
亻:e>o 巾:a>l 月:w>v 田:o>q 艹:f>e	1	1	1	35	220	0	7	1322	2578	4499530
亻:e>o 巾:a>l 月:w>t 田:o>y 艹:f>e	1	1	1	36	239	0	6	1322	2584	4500180
